# 201509031520: Long run with high prob. err and tight ret thresh to expose strategy usage sparations
file,SNS84,BASE-P/R/C,ADULT
_20150903152635_,0.7711174,-0.08926674,0.9973163
_20150903152814_,0.7745339,-0.0879944,0.9956561
_20150903152725_,0.7785909,-0.09859432,0.996241
