# 20151008b: Exploring distributed rep of inputs longer
file,ADDEND_MATRIX_OFFBY1_DELTA,SNS84,BASE-P/R/C,ADULT
_20151008103921_,1.0,0.7706613,-0.09802338,0.9931237
_20151008103900_,0.0,0.7566736,-0.12035115,0.95321983
