# 201509031536: Standard Values
file,SNS84,BASE-P/R/C,ADULT
_20150903153713_,0.76968795,-0.104150176,0.9941593
_20150903153733_,0.77009135,-0.09175278,0.9964422
_20150903153723_,0.7729948,-0.09598111,0.99732274
